Game,Date,Winning team,Score,Losing team,Venue
I,1967,Green Bay Packers,35–10,Kansas City Chiefs,Los Angeles Memorial Coliseum 01
II,1968,Green Bay Packers,33–14,Oakland Raiders,Miami Orange Bowl 01
III,1969,New York Jets,16–7,Indianapolis Colts,Miami Orange Bowl 02
IV,1970,Kansas City Chiefs,23–7,Minnesota Vikings,Tulane Stadium 01
V,1971,Indianapolis Colts,16–13,Dallas Cowboys,Miami Orange Bowl 03
VI,1972,Dallas Cowboys,24–3,Miami Dolphins,Tulane Stadium 02
VII,1973,Miami Dolphins,14–7,Washington Redskins,Los Angeles Memorial Coliseum 02
VIII,1974,Miami Dolphins,24–7,Minnesota Vikings,Rice Stadium 01
IX,1975,Pittsburgh Steelers,16–6,Minnesota Vikings,Tulane Stadium 03
X,1976,Pittsburgh Steelers,21–17,Dallas Cowboys,Miami Orange Bowl 04
XI,1977,Oakland Raiders,32–14,Minnesota Vikings,Rose Bowl 01
XII,1978,Dallas Cowboys,27–10,Denver Broncos,Louisiana Superdome 01
XIII,1979,Pittsburgh Steelers,35–31,Dallas Cowboys,Miami Orange Bowl 05
XIV,1980,Pittsburgh Steelers,31–19,Los Angeles Rams,Rose Bowl 02
XV,1981,Oakland Raiders,27–10,Philadelphia Eagles,Louisiana Superdome 02
XVI,1982,San Francisco,26–21,Cincinnati Bengals,Pontiac Silverdome 01
XVII,1983,Washington Redskins,27–17,Miami Dolphins,Rose Bowl 03
XVIII,1984,Oakland Raiders,38–9,Washington Redskins,Tampa Stadium 01
XIX,1985,San Francisco,38–16,Miami Dolphins,Stanford Stadium 01
XX,1986,Chicago Bears,46–10,New England Patriots,Louisiana Superdome 03
XXI,1987,New York Giants,39–20,Denver Broncos,Rose Bowl 04
XXII,1988,Washington Redskins,42–10,Denver Broncos,Jack Murphy Stadium 01
XXIII,1989,San Francisco,20–16,Cincinnati Bengals,Joe Robbie Stadium 01
XXIV,1990,San Francisco,55–10,Denver Broncos,Louisiana Superdome 04
XXV,1991,New York Giants,20–19,Buffalo Bills,Tampa Stadium 02
XXVI,1992,Washington Redskins,37–24,Buffalo Bills,Metrodome 01
XXVII,1993,Dallas Cowboys,52–17,Buffalo Bills,Rose Bowl 05
XXVIII,1994,Dallas Cowboys,30–13,Buffalo Bills,Georgia Dome 01
XXIX,1995,San Francisco,49–26,San Diego Chargers,Joe Robbie Stadium 02
XXX,1996,Dallas Cowboys,27–17,Pittsburgh Steelers,Sun Devil Stadium 01
XXXI,1997,Green Bay Packers,35–21,New England Patriots,Louisiana Superdome 05
XXXII,1998,Denver Broncos,31–24,Green Bay Packers,Jack Murphy Stadium 02
XXXIII,1999,Denver Broncos,34–19,Atlanta Falcons,Joe Robbie Stadium 03
XXXIV,2000,Los Angeles Rams,23–16,Tennessee Titans,Georgia Dome 02
XXXV,2001,Baltimore Ravens,34–7,New York Giants,Raymond James Stadium 01
XXXVI,2002,New England Patriots,20–17,Los Angeles Rams,Louisiana Superdome 06
XXXVII,2003,Tampa Bay Buccaneers,48–21,Oakland Raiders,Jack Murphy Stadium 03
XXXVIII,2004,New England Patriots,32–29,Carolina Panthers,NRG Stadium 01
XXXIX,2005,New England Patriots,24–21,Philadelphia Eagles,ALLTEL Stadium 01
XL,2006,Pittsburgh Steelers,21–10,Seattle Seahawks,Ford Field 01
XLI,2007,Indianapolis Colts,29–17,Chicago Bears,Joe Robbie Stadium 04
XLII,2008,New York Giants,17–14,New England Patriots,University of Phoenix Stadium 01
XLIII,2009,Pittsburgh Steelers,27–23,Arizona Cardinals,Raymond James Stadium 02
XLIV,2010,New Orleans Saints,31–17,Indianapolis Colts,Joe Robbie Stadium 05
XLV,2011,Green Bay Packers,31–25,Pittsburgh Steelers,Cowboys Stadium 01
XLVI,2012,New York Giants,21–17,New England Patriots,Lucas Oil Stadium 01
XLVII,2013,Baltimore Ravens,34–31,San Francisco,Louisiana Superdome 07
XLVIII,2014,Seattle Seahawks,43–8,Denver Broncos,MetLife Stadium 01
XLIX,2015,New England Patriots,28–24,Seattle Seahawks,University of Phoenix Stadium 02
50,2016,Denver Broncos,24–10,Carolina Panthers,Levi's Stadium 01
